genome	substrates
TARA_SAMEA2620106_METAG_NDAHNLGG	lignin, glucooligosaccharide, host glycan, xylan, arabinan, polyphenol, exo-polysaccharide, cellulose, peptidoglycan, chitin, chitooligosaccharide, cellooligosaccharide, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_PPHCBMNA	sucrose, palatinose, beta-mannan, starch, cellooligosaccharide, pectin, chitosan, glucooligosaccharide, beta-glucuronan, raffinose, beta-galactan, exo-polysaccharide, peptidoglycan, chitin, alpha-mannan, beta-glucan, lignin, host glycan, human milk polysaccharide, xylan, polyphenol, arabinan, cellulose, chitooligosaccharide, trehalose
TARA_SAMEA2620097_METAG_AKFOENMH	host glycan, xylan, arabinan, polyphenol, exo-polysaccharide, peptidoglycan, chitin, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_HPDJDOPC	beta-mannan, starch, cellooligosaccharide, chitosan, pectin, glucooligosaccharide, beta-glucuronan, beta-galactan, exo-polysaccharide, beta-fucosides, peptidoglycan, arabinogalactan protein, chitin, glycolipid, beta-glucan, host glycan, human milk polysaccharide, xylan, uric acid, beta-glycan, polyphenol, arabinan, alkaloid, cellulose, chitooligosaccharide, trehalose, xyloglucan
TARA_SAMEA2620106_METAG_JMICEMNF	sucrose, beta-mannan, porphyran, starch, pectin, chitosan, glycogen, beta-glucuronan, carrageenan, beta-galactan, exo-polysaccharide, abscisic acid, beta-fucosides, peptidoglycan, arabinogalactan protein, chitin, alpha-glucan, alpha-galactan, alpha-mannan, beta-glucan, host glycan, human milk polysaccharide, xylan, glucosylglycerate, arabinan, polyphenol, agarose, cellulose, trehalose, xyloglucan
TARA_SAMEA2620106_METAG_PKANIBBM	trehalose, lignin, chitosan, glucooligosaccharide, host glycan, xylan, polyphenol, arabinan, exo-polysaccharide, peptidoglycan, cellulose, chitin, chitooligosaccharide, cellooligosaccharide, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_NCIIEPOG	sucrose, beta-mannan, starch, chitosan, pectin, glycogen, beta-glucuronan, beta-galactan, exo-polysaccharide, peptidoglycan, chitin, alpha-glucan, alpha-galactan, alpha-mannan, beta-glucan, lignin, host glycan, human milk polysaccharide, xylan, glucosylglycerate, polyphenol, arabinan, cellulose, trehalose, xyloglucan
TARA_SAMEA2620106_METAG_HDFPKOKE	sucrose, beta-mannan, porphyran, starch, pectin, chitosan, glycogen, beta-glucuronan, carrageenan, beta-galactan, exo-polysaccharide, abscisic acid, beta-fucosides, peptidoglycan, arabinogalactan protein, chitin, alpha-glucan, glycolipid, alpha-mannan, beta-glucan, host glycan, human milk polysaccharide, xylan, glucosylglycerate, beta-glycan, polyphenol, arabinan, agarose, cellulose, trehalose, xyloglucan, sialic acid
TARA_SAMEA2620097_METAG_OFBNPCKJ	sucrose, beta-mannan, starch, cellooligosaccharide, pectin, chitosan, glucooligosaccharide, glycogen, beta-glucuronan, cephalosporin C, beta-galactan, exo-polysaccharide, beta-fucosides, peptidoglycan, chitin, alpha-glucan, alpha-mannan, beta-glucan, lignin, host glycan, uric acid, xylan, glucosylglycerate, polyphenol, arabinan, alkaloid, human milk polysaccharide, cellulose, chitooligosaccharide, trehalose, xyloglucan
TARA_SAMEA2620097_METAG_FEMNCHNC	sucrose, lignin, host glycan, xylan, glycogen, glucosylglycerate, polyphenol, exo-polysaccharide, arabinan, peptidoglycan, starch, chitin, alpha-glucan, trehalose, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_MCJLCJFN	sucrose, beta-mannan, porphyran, starch, glycosidases, pectin, chitosan, glycogen, fructan, beta-glucuronan, carrageenan, beta-galactan, exo-polysaccharide, beta-fucosides, peptidoglycan, arabinogalactan protein, chitin, alpha-glucan, glycolipid, alpha-mannan, beta-glucan, host glycan, human milk polysaccharide, xylan, glucosylglycerate, beta-glycan, polyphenol, arabinan, uric acid, alkaloid, agarose, cellulose, trehalose, xyloglucan, sialic acid
TARA_SAMEA2620097_METAG_CJLMDCMC	lignin, glucooligosaccharide, exo-polysaccharide, chitin, chitooligosaccharide, cellooligosaccharide
TARA_SAMEA2620097_METAG_KFELPDMJ	lignin, glucooligosaccharide, host glycan, xylan, arabinan, polyphenol, exo-polysaccharide, peptidoglycan, chitin, chitooligosaccharide, cellooligosaccharide, xyloglucan, beta-glucan
TARA_SAMEA2620106_METAG_KFNKCAII	sucrose, beta-mannan, porphyran, starch, cellooligosaccharide, chitosan, glucooligosaccharide, glycogen, carrageenan, exo-polysaccharide, abscisic acid, peptidoglycan, arabinogalactan protein, chitin, alpha-glucan, glycolipid, beta-glucan, host glycan, xylan, glucosylglycerate, beta-glycan, polyphenol, arabinan, agarose, cellulose, chitooligosaccharide, trehalose, xyloglucan
TARA_SAMEA2620097_METAG_OLPLCJOO	sucrose, beta-mannan, starch, cellooligosaccharide, pectin, chitosan, glucooligosaccharide, glycogen, beta-glucuronan, beta-galactan, exo-polysaccharide, beta-fucosides, peptidoglycan, arabinogalactan protein, chitin, alpha-glucan, alpha-mannan, beta-glucan, lignin, host glycan, uric acid, xylan, glucosylglycerate, arabinan, polyphenol, alkaloid, human milk polysaccharide, cellulose, chitooligosaccharide, trehalose, xyloglucan
TARA_SAMEA2620097_METAG_OLFDECGB	host glycan, xylan, arabinan, polyphenol, exo-polysaccharide, peptidoglycan, starch, chitin, trehalose, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_LACLEMNM	beta-mannan, porphyran, cellooligosaccharide, chitosan, glucooligosaccharide, carrageenan, exo-polysaccharide, peptidoglycan, arabinogalactan protein, chitin, glycolipid, beta-glucan, host glycan, xylan, beta-glycan, polyphenol, arabinan, agarose, cellulose, chitooligosaccharide, trehalose, xyloglucan
TARA_SAMEA2620097_METAG_EKFMMPGJ	ulvan, sucrose, pectin, palatinose, cephalosporin C, trehalose, raffinose, glucooligosaccharide, xylan, host glycan, polyphenol, exo-polysaccharide, peptidoglycan, starch, chitin, chitooligosaccharide, cellooligosaccharide, beta-glucan
TARA_SAMEA2620021_METAG_GBIHLJMF	chitooligosaccharide, cellulose, xylan, beta-glucan, chitosan, beta-glycan, host glycan, glycolipid, beta-glucuronan, pectin, palatinose, chitin, arabinan, arabinogalactan protein, alpha-mannan, alpha-glucan, beta-mannan, lignin, exo-polysaccharide, starch, beta-galactan, glucooligosaccharide, cellooligosaccharide, xyloglucan, sucrose, raffinose, polyphenol
TARA_SAMEA2620021_METAG_FPHBIKKN	peptidoglycan, cellulose, carrageenan, xylan, beta-glucan, chitosan, beta-glycan, trehalose, host glycan, glycolipid, beta-glucuronan, pectin, agarose, chitin, arabinan, arabinogalactan protein, alpha-mannan, porphyran, beta-mannan, exo-polysaccharide, beta-galactan, xyloglucan, polyphenol
TARA_SAMEA2620021_METAG_MLOOJBBB	peptidoglycan, chitooligosaccharide, xylan, beta-glucan, glycogen, trehalose, host glycan, chitin, arabinan, alpha-glucan, lignin, exo-polysaccharide, starch, glucosylglycerate, glucooligosaccharide, cellooligosaccharide, xyloglucan, sucrose, polyphenol
TARA_SAMEA2620021_METAG_KBGMIOJP	peptidoglycan, chitooligosaccharide, cellulose, xylan, beta-glucan, glycogen, chitosan, trehalose, host glycan, beta-glucuronan, pectin, chitin, arabinan, alpha-mannan, alpha-glucan, beta-mannan, lignin, exo-polysaccharide, starch, beta-galactan, glucosylglycerate, glucooligosaccharide, cellooligosaccharide, xyloglucan, sucrose, polyphenol
TARA_SAMEA2620021_METAG_JNBBEMFP	host glycan
TARA_SAMEA2620021_METAG_ACIKLEOD	chitooligosaccharide, xylan, beta-glucan, glycogen, chitosan, trehalose, host glycan, beta-glucuronan, pectin, chitin, arabinan, alpha-mannan, alpha-glucan, beta-mannan, lignin, exo-polysaccharide, starch, beta-galactan, glucosylglycerate, glucooligosaccharide, cellooligosaccharide, sucrose
TARA_SAMEA2620035_METAG_LBGPHFGM	human milk polysaccharide, beta-mannan, glucooligosaccharide, chitin, cellooligosaccharide, xylan, polyphenol, xyloglucan, glycolipid, alkaloid, starch, beta-galactan, chitooligosaccharide, cellulose, uric acid, beta-fucosides, chitosan, beta-glucuronan, beta-glycan, beta-glucan, arabinan, peptidoglycan, host glycan, arabinogalactan protein, exo-polysaccharide, trehalose
TARA_SAMEA2620035_METAG_PBKGFJIL	xyloglucan, arabinan, peptidoglycan, host glycan, glucooligosaccharide, chitin, cellooligosaccharide, exo-polysaccharide, xylan, beta-glucan, lignin, polyphenol, chitooligosaccharide
TARA_SAMEA2620035_METAG_LEKHLCMO	human milk polysaccharide, beta-mannan, glucooligosaccharide, chitin, cellooligosaccharide, xylan, polyphenol, pectin, alpha-mannan, xyloglucan, fructan, starch, beta-galactan, sialic acid, chitooligosaccharide, lignin, cellulose, chitosan, beta-glucuronan, arabinan, beta-glucan, peptidoglycan, host glycan, alpha-rhamnoside, exo-polysaccharide, trehalose
TARA_SAMEA2620035_METAG_OLDPKKOE	cellulose, peptidoglycan, glucooligosaccharide, cellooligosaccharide, exo-polysaccharide, xylan, chitooligosaccharide, lignin
TARA_SAMEA2620035_METAG_LBPLCHEF	xyloglucan, arabinan, peptidoglycan, host glycan, glucooligosaccharide, chitin, exo-polysaccharide, cellooligosaccharide, xylan, beta-glucan, polyphenol, chitooligosaccharide
TARA_SAMEA2620035_METAG_BFENAAHI	human milk polysaccharide, beta-mannan, glucooligosaccharide, chitin, palatinose, cellooligosaccharide, xylan, polyphenol, pectin, alpha-mannan, xyloglucan, glycogen, cephalosporin C, alkaloid, starch, beta-galactan, chitooligosaccharide, lignin, cellulose, uric acid, glucosylglycerate, beta-fucosides, chitosan, beta-glucuronan, arabinan, beta-glucan, sucrose, host glycan, peptidoglycan, exo-polysaccharide, raffinose, trehalose, alpha-glucan
TARA_SAMEA2620039_METAG_PIJHEMFK	glucooligosaccharide, chitin, cellooligosaccharide, xylan, polyphenol, alpha-mannan, xyloglucan, glycogen, starch, chitooligosaccharide, lignin, cellulose, glucosylglycerate, chitosan, arabinan, beta-glucan, sucrose, alpha-galactan, peptidoglycan, host glycan, arabinogalactan protein, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_EGMMDIFA	human milk polysaccharide, beta-mannan, chitin, xylan, polyphenol, glycogen, alkaloid, starch, beta-galactan, lignin, cellulose, uric acid, glucosylglycerate, beta-fucosides, beta-glucuronan, beta-glucan, sucrose, peptidoglycan, host glycan, arabinogalactan protein, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_PMPAKNIG	human milk polysaccharide, beta-mannan, chitin, xylan, polyphenol, pectin, alpha-mannan, xyloglucan, glycolipid, glycogen, carrageenan, porphyran, alkaloid, starch, beta-galactan, sialic acid, cellulose, uric acid, glucosylglycerate, agarose, beta-fucosides, chitosan, beta-glucuronan, beta-glycan, arabinan, beta-glucan, sucrose, peptidoglycan, host glycan, arabinogalactan protein, glycosidases, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_CKKBOBLG	xyloglucan, glycogen, arabinan, host glycan, peptidoglycan, glucosylglycerate, chitin, starch, exo-polysaccharide, xylan, beta-glucan, trehalose, lignin, polyphenol, alpha-glucan, sucrose
TARA_SAMEA2620039_METAG_BAKCDBNN	xyloglucan, cellulose, arabinan, host glycan, peptidoglycan, glucooligosaccharide, chitin, cellooligosaccharide, chitosan, exo-polysaccharide, xylan, beta-glucan, trehalose, lignin, polyphenol, chitooligosaccharide
TARA_SAMEA2620039_METAG_JMLJMNOD	human milk polysaccharide, beta-mannan, chitin, xylan, polyphenol, pectin, xyloglucan, glycogen, alkaloid, starch, beta-galactan, lignin, cellulose, uric acid, glucosylglycerate, beta-fucosides, beta-glucuronan, arabinan, beta-glucan, sucrose, peptidoglycan, host glycan, arabinogalactan protein, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_MBPBHCGO	xyloglucan, cellulose, arabinan, peptidoglycan, host glycan, glucooligosaccharide, chitin, exo-polysaccharide, cellooligosaccharide, xylan, beta-glucan, lignin, polyphenol, chitooligosaccharide
TARA_SAMEA2620035_METAG_EOHBKGBH	glucooligosaccharide, chitin, palatinose, xylan, cellooligosaccharide, polyphenol, pectin, cephalosporin C, starch, chitooligosaccharide, lignin, beta-glucan, ulvan, sucrose, peptidoglycan, host glycan, exo-polysaccharide, raffinose, trehalose
TARA_SAMEA2620035_METAG_FCOHJMAC	xyloglucan, arabinan, host glycan, peptidoglycan, xylan, chitin, starch, exo-polysaccharide, polyphenol, beta-glucan, trehalose
TARA_SAMEA2620039_METAG_JCLMFLPE	beta-mannan, chitin, xylan, polyphenol, pectin, xyloglucan, glycogen, fructan, starch, beta-galactan, lignin, cellulose, glucosylglycerate, arabinan, beta-glucan, sucrose, peptidoglycan, host glycan, arabinogalactan protein, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_AMJDFKBG	human milk polysaccharide, beta-mannan, glucooligosaccharide, chitin, xylan, polyphenol, cellooligosaccharide, pectin, alpha-mannan, xyloglucan, glycogen, alkaloid, starch, beta-galactan, chitooligosaccharide, lignin, cellulose, uric acid, glucosylglycerate, beta-fucosides, chitosan, beta-glucuronan, arabinan, beta-glucan, sucrose, peptidoglycan, host glycan, arabinogalactan protein, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620039_METAG_CCAPJDHN	beta-mannan, glucooligosaccharide, chitin, cellooligosaccharide, xylan, polyphenol, pectin, alpha-mannan, xyloglucan, glycogen, fructan, starch, beta-galactan, chitooligosaccharide, lignin, cellulose, glucosylglycerate, chitosan, beta-glucuronan, arabinan, beta-glucan, sucrose, alpha-galactan, host glycan, peptidoglycan, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_ILLGPLFG	xyloglucan, arabinan, host glycan, peptidoglycan, chitin, exo-polysaccharide, xylan, beta-glucan, polyphenol
TARA_SAMEA2620039_METAG_DCIGMOMO	glucooligosaccharide, chitin, cellooligosaccharide, xylan, polyphenol, xyloglucan, glycogen, starch, chitooligosaccharide, lignin, glucosylglycerate, arabinan, beta-glucan, sucrose, host glycan, peptidoglycan, exo-polysaccharide, trehalose, alpha-glucan
TARA_SAMEA2620035_METAG_PBCLHMBK	beta-mannan, glucooligosaccharide, chitin, xylan, polyphenol, cellooligosaccharide, xyloglucan, glycolipid, carrageenan, porphyran, chitooligosaccharide, cellulose, agarose, chitosan, beta-glycan, arabinan, beta-glucan, host glycan, peptidoglycan, arabinogalactan protein, exo-polysaccharide, trehalose
TARA_SAMEA2620035_METAG_EBCDEKAK	human milk polysaccharide, beta-mannan, glucooligosaccharide, chitin, palatinose, cellooligosaccharide, xylan, polyphenol, pectin, alpha-mannan, cephalosporin C, starch, beta-galactan, chitooligosaccharide, lignin, cellulose, chitosan, beta-glucuronan, arabinan, beta-glucan, sucrose, peptidoglycan, host glycan, exo-polysaccharide, raffinose, trehalose
MALA_SAMN05422133_METAG_MMGBPPIN	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, beta-fucosides, glycolipid, human milk polysaccharide, beta-mannan, chitin, arabinogalactan protein, beta-glycan, starch, glucosylglycerate, peptidoglycan, beta-glucan, beta-galactan, cellooligosaccharide, cellulose, uric acid, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, lignin, host glycan, chitosan, alkaloid, trehalose, alpha-glucan
MALA_SAMN05422133_METAG_IDLFGHMH	peptidoglycan, beta-glucan, cellooligosaccharide, polyphenol, xylan, chitin, exo-polysaccharide, xyloglucan, host glycan, arabinan, glucooligosaccharide, chitooligosaccharide, lignin
MALA_SAMN05422149_METAG_IEPELFMA	sucrose, polyphenol, xylan, exo-polysaccharide, arabinan, fructan, carrageenan, arabinogalactan protein, chitin, agarose, starch, glucosylglycerate, peptidoglycan, beta-glucan, porphyran, cellulose, glycogen, xyloglucan, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422133_METAG_FOGKKEHN	sucrose, cutin, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, glycolipid, pectin, beta-mannan, carrageenan, arabinogalactan protein, chitin, agarose, beta-glycan, alpha-galactan, starch, glucosylglycerate, peptidoglycan, beta-glucan, porphyran, beta-galactan, alpha-mannan, cellooligosaccharide, cellulose, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, lignin, host glycan, chitosan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_HCNNMKLE	peptidoglycan, alpha-mannan, cellooligosaccharide, cellulose, polyphenol, cephalosporin C, xylan, exo-polysaccharide, chitin, glucooligosaccharide, ulvan, host glycan, alpha-glucan, chitooligosaccharide, starch, trehalose, pectin, lignin
MALA_SAMN05422133_METAG_MPCMMFBL	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, beta-fucosides, human milk polysaccharide, beta-mannan, chitin, starch, glucosylglycerate, peptidoglycan, beta-glucan, beta-galactan, cellooligosaccharide, cellulose, uric acid, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, lignin, host glycan, alkaloid, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_EKIALOCF	cellooligosaccharide, cellulose, chitin, exo-polysaccharide, glucooligosaccharide, host glycan, chitooligosaccharide, lignin
MALA_SAMN05422149_METAG_FHIEBIKM	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, cephalosporin C, chitin, starch, glucosylglycerate, peptidoglycan, beta-glucan, alpha-mannan, cellooligosaccharide, cellulose, glycogen, xyloglucan, chitooligosaccharide, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_CFOFNMIM	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, beta-fucosides, pectin, human milk polysaccharide, beta-mannan, chitin, arabinogalactan protein, alpha-galactan, starch, glucosylglycerate, peptidoglycan, beta-glucan, beta-galactan, cellooligosaccharide, cellulose, uric acid, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, raffinose, lignin, host glycan, alkaloid, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_PLPADFBC	sucrose, polyphenol, xylan, exo-polysaccharide, arabinan, glycolipid, pectin, beta-mannan, carrageenan, arabinogalactan protein, chitin, agarose, beta-glycan, alpha-galactan, starch, glucosylglycerate, peptidoglycan, beta-glucan, porphyran, beta-galactan, alpha-mannan, cellulose, glycogen, xyloglucan, raffinose, lignin, host glycan, chitosan, alkaloid, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_KKGNCMCP	polyphenol, xylan, exo-polysaccharide, alpha-rhamnoside, arabinan, beta-fucosides, pectin, human milk polysaccharide, beta-mannan, carrageenan, arabinogalactan protein, chitin, agarose, peptidoglycan, beta-glucan, porphyran, beta-galactan, alpha-mannan, uric acid, xyloglucan, beta-glucuronan, lignin, host glycan, chitosan, alkaloid
MALA_SAMN05422133_METAG_KFHCJPLA	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, beta-fucosides, pectin, human milk polysaccharide, beta-mannan, chitin, starch, glucosylglycerate, peptidoglycan, beta-glucan, beta-galactan, cellooligosaccharide, cellulose, uric acid, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, lignin, host glycan, chitosan, alkaloid, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_FNBIFKEB	peptidoglycan, alpha-mannan, cellooligosaccharide, cellulose, polyphenol, cephalosporin C, xylan, exo-polysaccharide, chitin, glucooligosaccharide, ulvan, host glycan, chitooligosaccharide, starch, trehalose, pectin, lignin
MALA_SAMN05422149_METAG_OPEOGJCH	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, fructan, chitin, starch, glucosylglycerate, peptidoglycan, beta-glucan, cellooligosaccharide, cellulose, glycogen, xyloglucan, chitooligosaccharide, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_ADPGENHC	sucrose, polyphenol, xylan, exo-polysaccharide, pectin, beta-mannan, chitin, alpha-galactan, starch, glucosylglycerate, peptidoglycan, alpha-mannan, cellulose, glycogen, xyloglucan, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_DCOOINAI	peptidoglycan, beta-glucan, sucrose, cellulose, polyphenol, glycogen, xylan, chitin, xyloglucan, arabinan, host glycan, alpha-glucan, starch, trehalose, lignin, glucosylglycerate
MALA_SAMN05422149_METAG_ICMNOLBA	peptidoglycan, beta-glucan, cellooligosaccharide, cellulose, polyphenol, xylan, chitin, xyloglucan, arabinan, host glycan, exo-polysaccharide, glucooligosaccharide, chitooligosaccharide, lignin
MALA_SAMN05422133_METAG_ADEFELBG	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, fructan, chitin, starch, glucosylglycerate, peptidoglycan, beta-glucan, cellooligosaccharide, cellulose, glycogen, xyloglucan, chitooligosaccharide, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_IOGIMBKE	peptidoglycan, beta-glucan, cellooligosaccharide, cellulose, polyphenol, xylan, chitin, xyloglucan, arabinan, host glycan, exo-polysaccharide, glucooligosaccharide, chitooligosaccharide, lignin
MALA_SAMN05422133_METAG_FGJNLDHN	sucrose, polyphenol, xylan, exo-polysaccharide, pectin, carrageenan, arabinogalactan protein, chitin, agarose, starch, glucosylglycerate, peptidoglycan, beta-glucan, porphyran, glycogen, xyloglucan, lignin, host glycan, trehalose, alpha-glucan
MALA_SAMN05422149_METAG_HPPCHCEF	peptidoglycan, cellooligosaccharide, cellulose, cephalosporin C, sialic acid, xylan, chitin, exo-polysaccharide, glucooligosaccharide, ulvan, host glycan, alpha-glucan, chitooligosaccharide, pectin, lignin
MALA_SAMN05422133_METAG_LICJKDFC	sucrose, polyphenol, xylan, exo-polysaccharide, glucooligosaccharide, arabinan, beta-fucosides, pectin, human milk polysaccharide, beta-mannan, chitin, arabinogalactan protein, alpha-galactan, starch, glucosylglycerate, peptidoglycan, beta-glucan, beta-galactan, cellooligosaccharide, cellulose, uric acid, glycogen, xyloglucan, beta-glucuronan, chitooligosaccharide, raffinose, lignin, host glycan, alkaloid, trehalose, alpha-glucan
TARA_SAMEA2619952_METAG_LGPHDMJI	arabinan, xylan, trehalose, sucrose, chitin, peptidoglycan, beta-glucan, polyphenol, xyloglucan, glycogen, glucosylglycerate, host glycan, lignin, exo-polysaccharide, alpha-glucan, starch
TARA_SAMEA2619952_METAG_FPCFMOCG	alkaloid, chitooligosaccharide, raffinose, cephalosporin C, pectin, xyloglucan, glucosylglycerate, peptidoglycan, lignin, alpha-glucan, starch, sucrose, glucooligosaccharide, beta-mannan, glycogen, beta-galactan, cellooligosaccharide, cellulose, trehalose, human milk polysaccharide, beta-glucan, exo-polysaccharide, arabinan, xylan, beta-glucuronan, palatinose, chitin, polyphenol, host glycan, uric acid, beta-fucosides
TARA_SAMEA2619952_METAG_NJJBGEID	arabinan, xylan, trehalose, chitin, sucrose, peptidoglycan, beta-glucan, polyphenol, xyloglucan, glycogen, host glycan, glucosylglycerate, lignin, exo-polysaccharide, starch, alpha-glucan
TARA_SAMEA2619952_METAG_LKLFMCIK	chitooligosaccharide, raffinose, glucosylglycerate, arabinogalactan protein, lignin, alpha-glucan, starch, sucrose, glucooligosaccharide, glycogen, cellooligosaccharide, alpha-galactan, cellulose, trehalose, exo-polysaccharide, arabinan, xylan, polyphenol, host glycan
TARA_SAMEA2619952_METAG_LABCLOCM	chitooligosaccharide, fructan, pectin, alpha-mannan, xyloglucan, chitosan, glucosylglycerate, arabinogalactan protein, lignin, peptidoglycan, alpha-glucan, starch, carrageenan, sucrose, glucooligosaccharide, beta-mannan, beta-galactan, glycogen, cellooligosaccharide, cellulose, trehalose, human milk polysaccharide, beta-glucan, agarose, exo-polysaccharide, arabinan, xylan, porphyran, beta-glucuronan, chitin, polyphenol, host glycan
TARA_SAMEA2619952_METAG_KFKPCKBF	fructan, pectin, xyloglucan, glucosylglycerate, arabinogalactan protein, peptidoglycan, lignin, alpha-glucan, starch, carrageenan, sucrose, beta-mannan, glycogen, trehalose, human milk polysaccharide, beta-glucan, agarose, exo-polysaccharide, arabinan, xylan, porphyran, chitin, host glycan, sialic acid
