Genome	CheckM Completeness	CheckM Contamination	# tRNAs (AA)	16S rRNA	GTDB Taxonomy	dRep Species Cluster	station	depth	depth layer	latitude	longitude	size fraction	temperature (°C)	oxygen (µmol/kg)
TARA_SAMEA2621551_METAG_HNMBPJJF	97.5	0.0	20.0	0.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__SAT2750;s__SAT2750 sp002708345	142_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_BCOOPLHK	96.64	3.3	16.0	0.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA822;s__	117_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_MMPJBINL	95.34	0.0	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	3520_2	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_IABJEDGB	93.02	3.51	18.0	0.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA2110;s__UBA2110 sp002331465	2371_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_FEMOOLBM	92.33	0.0	15.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__	6371_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_PECKMDBI	97.49	0.99	18.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__UBA1123;s__UBA1123 sp002313895	6356_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_AFHKGLEB	95.67	3.65	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA7433;s__	3512_0	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_GHEEBCED	94.72	0.33	15.0	1.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA9455;s__UBA9455 sp002313245	6376_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_AJELNHCL	93.4	1.16	18.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1127;f__UBA1127;g__UBA1127;s__UBA1127 sp002311595	1379_0	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_DMLPNCOO	94.02	3.85	21.0	0.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725	772_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_INMMJGPH	92.31	0.0	18.0	0.0	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__Marinisoma;s__Marinisoma sp002701645	5051_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_FGDPBCFM	91.13	0.81	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__ASP10-05a sp000981645	3345_2	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621487_METAG_HCGJLDAA	94.09	3.27	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__TMED14;s__	2478_1	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621487_METAG_HMPOEMOI	96.68	1.3	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__1G12;g__UBA6049;s__	3754_1	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621487_METAG_GNAKFDDL	96.31	0.87	19.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2638;s__UBA2638 sp002359735	1525_1	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621487_METAG_HHLJOOKI	95.61	0.27	18.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp002339135	4101_1	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621487_METAG_LHCPKHOF	95.51	2.31	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__GCA-002723295;s__	3821_1	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621487_METAG_JEJEPAEM	97.87	0.59	19.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas_A;s__Alteromonas_A sp002335925	451_2	TARA_084	5.0	EPI	-60.2287	-60.6476	0.22-3	1.9034	338.526
TARA_SAMEA2621423_METAG_MMFGIHGM	96.86	0.96	17.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__HIMB11 sp002336405	940_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_KCNEFKCF	99.13	1.82	18.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__Hyphomonas adhaerens	1129_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_GOFEFFGP	96.28	4.21	15.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA7428;s__	3828_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_ACNBNNHJ	99.29	0.56	16.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii	1683_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_CNBMDABJ	98.12	0.0	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7430;g__UBA6772;s__UBA6772 sp002685115	3405_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_JEMLBHKJ	92.14	0.86	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__GCA-002733185;s__	3700_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_LDNNBEOA	98.92	0.0	15.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__;s__	3425_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_OFHPKJCE	97.85	0.54	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002336085	18_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_FCGBCPDP	95.16	0.0	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__ASP10-05a sp002336675	3345_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621423_METAG_IGMJFLMF	94.02	0.0	17.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__	6233_1	TARA_082	40.0	EPI	-47.2007	-57.9446	0.22-3	7.1549	306.1555
TARA_SAMEA2621401_METAG_PBJKAHMH	94.1	0.0	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SCGC-AAA160-P02;s__	3510_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_MDDNCBON	92.1	0.0	16.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter_A;s__	6203_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_NHKHHBNL	98.39	0.0	15.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__;s__	3425_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_EBJMJFME	97.85	3.23	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002336085	18_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_DODGOGHO	96.76	0.0	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002390615	16_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_IPCPDLNP	96.51	0.0	18.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__ASP10-05a sp002336675	3345_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
TARA_SAMEA2621401_METAG_HMOFNEGP	95.3	0.34	16.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__	6233_1	TARA_082	5.0	EPI	-47.1863	-58.2902	0.22-3	7.5794	303.1477
MALA_SAMN05422152_METAG_NNFJJNIN	94.72	1.98	21.0	1.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002746355	6372_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
MALA_SAMN05422152_METAG_KHCFHFCA	93.01	1.16	19.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UM-FILTER-47-13;s__	1593_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
MALA_SAMN05422152_METAG_EOCMCBJO	90.01	1.07	16.0	1.0	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp002082305	2269_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
MALA_SAMN05422152_METAG_NOFLLCFD	95.35	2.17	19.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__Citromicrobium sp002729695	1064_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
MALA_SAMN05422152_METAG_HGFHFFIL	99.0	1.2	17.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp002732835	5421_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
MALA_SAMN05422152_METAG_HEJPCIMK	96.7	0.0	19.0	0.0	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__TCS55 sp002715035	3085_1	74	3996.0	BAT	-39.23	135.19	0.2-0.8	0.9479	180.6806
TARA_SAMEA2620882_METAG_LAAKGMCA	97.98	2.06	20.0	0.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp900098805	817_1	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2620882_METAG_PEOIGDBG	97.96	1.45	20.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceicoccus;s__Croceicoccus sp002694745	1034_1	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2620882_METAG_ECPJEPLI	98.79	0.0	19.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sp002294185	1282_1	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2620882_METAG_KEPLEFPO	97.53	0.57	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia;s__Zunongwangia profunda	3859_1	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2620882_METAG_JAIBFADI	90.8	0.99	18.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002816355	6371_1	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2620882_METAG_IPKCKHKP	92.24	4.46	19.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__GCA-002694895;g__GCA-002694895;s__GCA-002694895 sp002694895	6346_2	TARA_065	850.0	MES	-35.1889	26.2905	0.22-3	8.3303	199.726
TARA_SAMEA2621779_METAG_BFIFFBPD	93.75	0.85	18.0	0.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003210315	185_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_JBODLJEL	97.78	2.72	18.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Bermanella;s__Bermanella sp002683575	1837_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_DJKNFFGC	97.93	0.0	19.0	0.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__SW10 sp002323895	236_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_EHKBNHOM	97.79	0.0	18.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002705385	3845_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_CHFNGBLD	96.69	0.0	15.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__	3851_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_IOENAFMJ	92.35	0.05	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__;s__	3387_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_EDDAIACP	100.0	0.0	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__koll-22;g__UBA5081;s__UBA5081 sp002415785	3436_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_NIJIENBH	98.29	0.5	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella sp002682935	3589_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_AHIFOPMA	95.12	0.29	17.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter hydrocarbonoclasticus	615_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_PCNIFPHJ	94.09	0.0	19.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__TMED14;s__TMED14 sp002682945	2480_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_DLNKCJJJ	92.86	0.0	16.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__HIMB114;s__HIMB114 sp002684895	5173_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621779_METAG_OMECKAFD	92.55	1.24	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__GCA-002733185;s__	3698_1	TARA_093	5.0	EPI	-34.0614	-73.1066	0.22-3	18.123	243.0408
TARA_SAMEA2621812_METAG_MOHOOAMM	93.03	1.24	18.0	0.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003210315	185_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_NFENDCDO	98.71	2.73	18.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D;s__Pseudomonas_D abyssi	695_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_EINIOJLI	99.26	0.0	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp002705385	3845_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_NHHPCCBJ	97.73	0.57	20.0	0.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668;s__UBA1668 sp002364555	2358_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_JPOAFLIB	97.73	1.14	19.0	0.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA854;s__UBA854 sp002364485	301_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_ODFIDOJD	97.06	0.37	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__	3850_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_BDJMHFJE	90.71	0.0	16.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__;s__	3387_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_HOFGODDL	98.65	1.4	15.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya;s__Olleya sp002323495	3593_2	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_MHCAACBH	97.04	0.54	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__UBA8444;s__	3418_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_AHHIABAF	94.53	0.0	20.0	0.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__SW10 sp002323895	236_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
TARA_SAMEA2621812_METAG_OFBJBHIP	90.06	0.56	20.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;s__	1570_1	TARA_093	35.0	EPI	-33.9116	-73.0537	0.22-3	15.3769	227.7609
MALA_SAMN05421563_METAG_DNBDCBHP	90.11	0.0	20.0	0.0	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__	3110_1	50	4002.0	BAT	-33.55	39.89	0.2-0.8	0.851	199.1923
MALA_SAMN05421563_METAG_ACAPCABJ	95.13	3.85	20.0	0.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA9410;s__	775_1	50	4002.0	BAT	-33.55	39.89	0.2-0.8	0.851	199.1923
MALA_SAMN05421563_METAG_PAKDOBCA	97.8	0.0	20.0	0.0	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__TCS55 sp002715035	3085_1	50	4002.0	BAT	-33.55	39.89	0.2-0.8	0.851	199.1923
MALA_SAMN05422165_METAG_CHJKKJPH	99.47	1.02	20.0	1.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265	790_1	50	4002.0	BAT	-33.55	39.89	0.8-20	0.851	199.1923
MALA_SAMN05422165_METAG_NBPIDFID	99.49	0.78	18.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinovum;s__Marinovum algicola	1285_1	50	4002.0	BAT	-33.55	39.89	0.8-20	0.851	199.1923
MALA_SAMN05422166_METAG_DFMOJGGE	94.61	0.99	21.0	0.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002746355	6372_1	43	3900.0	BAT	-32.8128	12.7692	0.2-0.8	0.9196	199.2961
MALA_SAMN05422166_METAG_PHPIFGHP	90.65	0.0	16.0	0.0	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__	2267_1	43	3900.0	BAT	-32.8128	12.7692	0.2-0.8	0.9196	199.2961
MALA_SAMN05422166_METAG_PCLPONCI	97.46	3.08	20.0	0.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__Citromicrobium bathyomarinum	1066_1	43	3900.0	BAT	-32.8128	12.7692	0.2-0.8	0.9196	199.2961
MALA_SAMN05422166_METAG_CIOHFNPA	91.21	0.0	19.0	1.0	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__Marinisoma;s__	5042_2	43	3900.0	BAT	-32.8128	12.7692	0.2-0.8	0.9196	199.2961
